root@juno:~/# docker ps
CONTAINER ID   IMAGE     COMMAND   CREATED   STATUS    PORTS     NAMES
root@juno:/srv# docker images
REPOSITORY                                             TAG              IMAGE ID       CREATED         SIZE
changyuan/image-and-repo-info-crawler                  <none>           6b61ae1abb23   3 years ago     207MB
changyuan/image-and-repo-info-crawler                  <none>           1afdf26ca6b3   3 years ago     207MB
dpage/pgadmin4                                         latest           6b17f88802ea   3 years ago     269MB
changyuan/image-name-crawler-task-keyword              latest           bc4a149ac58f   3 years ago     205MB
changyuan/image-name-crawler-task-keyword              <none>           ea636e3374b4   3 years ago     205MB
changyuan/image-name-crawler-task-keyword              <none>           214ca7230de4   3 years ago     205MB
changyuan/image-name-crawler-task-keyword              <none>           b54b343dc182   3 years ago     205MB
stain/jena-fuseki                                      latest           e6a74a5489f0   3 years ago     241MB
dpage/pgadmin4                                         <none>           048a766c7caa   3 years ago     266MB
changyuan/docker-image-crawler                         latest           a1858060f262   4 years ago     1.32GB
changyuan/docker-image-crawler                         <none>           388a39da4c7b   4 years ago     1.32GB
changyuan/docker-image-crawler                         <none>           5bf792ad8c5f   4 years ago     1.32GB
changyuan/ubuntu-xfce-vnc                              latest           7143b70fded9   4 years ago     1.53GB
changyuan/docker-image-crawler                         <none>           b4fee4c1fadc   4 years ago     1.32GB
changyuan/docker-image-name-crawler                    latest           c5a15c3d1863   4 years ago     1.32GB
changyuan/docker-image-pull-count-crawler              latest           9a3d8cce6371   4 years ago     1.32GB
changyuan/docker-image-tags-crawler                    latest           ef964c51b2b7   4 years ago     1.32GB
changyuan/dockerfile-crawler                           latest           b72e2a777aa9   4 years ago     1.32GB
changyuan/github-tag-crawler                           latest           bce5009eac27   4 years ago     1.32GB
changyuan/popular-image-name-crawler                   latest           f847e662a0d2   4 years ago     1.32GB
changyuan/dockerhub-name-crawler-task                  latest           b067c513376c   4 years ago     1.32GB
changyuan/dockerhub-image-name-scrawler                latest           f83f59399ed3   4 years ago     1.32GB
msr2019db                                              latest           30db040228f3   4 years ago     293MB
changyuan/evaluator                                    latest           9f72873614cc   4 years ago     6.45GB
evaluator                                              latest           e98e1df9d66c   4 years ago     6.45GB
<none>                                                 <none>           6829cdc12a7f   4 years ago     6.45GB
<none>                                                 <none>           52d1d4588835   4 years ago     6.45GB
changyuan/evaluator                                    <none>           c0f19bd3b6ab   4 years ago     6.45GB
changyuan/msrpy                                        latest           de2b6fa901de   4 years ago     6.45GB
msrpy                                                  latest           b6379e5df64c   4 years ago     6.45GB
changyuan/py3-py2                                      latest           8d099525acf4   4 years ago     985MB
python                                                 3.6-slim         e9b00f8a90d8   4 years ago     138MB
mysql-docker-5.7                                       latest           23fad5ac1966   4 years ago     372MB
<none>                                                 <none>           dfd14e5ef951   4 years ago     372MB
<none>                                                 <none>           24b7083ad5e4   4 years ago     379MB
debian                                                 stretch-slim     bd04d03c4529   4 years ago     55.3MB
dorowu/ubuntu-desktop-lxde-vnc                         latest           68b31e964e2f   4 years ago     1.21GB
phpmyadmin/phpmyadmin                                  latest           15ca549393be   4 years ago     166MB
consol/centos-xfce-vnc                                 latest           155478b76645   4 years ago     1.59GB
docker.elastic.co/elasticsearch/elasticsearch          6.4.0            1ac676545731   5 years ago     791MB
changyuan/autoscaler                                   latest           1f93abd87b72   5 years ago     541MB
hello-world                                            latest           f2a91732366c   5 years ago     1.85kB
